Title,Company's Name,Location,Duration,Stipend
Market Research,Earth5R,Work from home,3 Months,Unpaid
Information Technology,Ksepiyas Private Limited,Work from home,2 Months,"₹ 6,000 lump sum"
Automation - Supply Chain,Heavenly Secrets Private Limited,Mumbai,6 Months,"₹ 15,000 "
Full Stack Development,WebTree Global Private Limited,Work from home,3 Months,"₹ 1,001 - 12,000 "
Youth Empowerment,Pawzz Foundation,Work from home,1 Month,"₹ 6,000 - 10,000 "
Web Development,Credex,Work from home,3 Months,"₹ 13,000 - 20,000 "
Data Visualisation,WiseAnalytics,Bangalore,2 Months,"₹ 2,000 - 20,000 "
Artificial Intelligence (AI),Step Consultancy,Work from home,6 Months,"₹ 10,000 - 20,000 "
Search Engine Optimization (SEO),Baweja Media,Work from home,6 Months,"₹ 6,000 - 8,000 "
Sales Consultant,Pawzz,Work from home,1 Month,"₹ 1,500 - 15,000 "
Product Management,Aditya Jha,Bangalore,3 Months,"₹ 20,000 - 35,000 "
E-Commerce Marketing,CALIN,Gurgaon,6 Months,"₹ 17,000 - 20,000 "
Artificial Intelligence (AI),Buddha Education Association Incorporation,Work from home,1 Month,"₹ 10,000 "
Machine Learning,Buddha Education Association Incorporation,Work from home,2 Months,"₹ 10,000 "
Data Science,WiseAnalytics,Bangalore,2 Months,"₹ 2,000 - 20,000 "
Video Editing/Making,SubSpace,Work from home,3 Months,"₹ 20,000 "
Digital Marketing,Digitopper,Delhi,3 Months,"₹ 17,000 - 30,000 "
SQL DEVELOPER,Eucloid Data Solutions Private Limited,Gurgaon,2 Months,"₹ 30,000 "
Compter Networking Research Associate,Megaminds IT Services,Work from home,6 Months,"₹ 1,000 - 10,000 "
Data Science AI&ML Python Research,Megaminds IT Services,Work from home,6 Months,"₹ 1,000 - 10,000 "
Research Associate Computer Science,Megaminds IT Services,Work from home,6 Months,"₹ 1,000 - 8,000 "
Data Annotation/Labelling (Computer Vision-Image Data),RoadMetrics,Bangalore,3 Months,"₹ 15,000 - 20,000 "
Software Development,TejTeam,Mumbai,3 Months,"₹ 5,000 - 10,000 "
Digital Marketing,Organic121 Scientific Private Limited,Gurgaon,6 Months,"₹ 10,000 - 16,000 "
Data Analytics,Nestera Realty,Work from home,2 Months,"AED 500 - 1,000 "
Marketing Manager,Talent Corner HR Services,Mumbai,3 Months,"₹ 15,000 lump sum"
Supply Chain Intern,Eat Nino Private Limited,Mumbai,3 Months,"₹ 10,000-15,000 "
Human Resources (HR),Renan Partners,Work from home,6 Months,"₹ 5,000 "
Artificial Intelligence (AI),Deepnexus S,Work from home,3 Months,"₹ 16,000 - 24,000 "
AI/ML Engineer,Maxgen Technologies Private Limited,Ahmedabad,2 Months,"₹ 7,000 - 12,000 "
Statistics,Gaba Telepsychiatry,Work from home,6 Months,$ 200 
Artificial Neural Networks,Coding Junior,Work from home,6 Months,Unpaid
ReactJS Development,BeyondChats,Work from home,5 Months,"₹ 15,000 - 25,000 "
Machine Learning,Alien Brains Private Limited,Work from home,3 Months,"₹ 3,000 - 6,000 "
Finance,Indika AI Private Limited,"Mumbai, Delhi",2 Months,"₹ 5,000 - 8,000 "
Content And Outreach Operations,CSTE International,Work from home,6 Months,"₹ 3,000 - 5,000 "
Artificial Intelligence (AI),ROBOKALAM,Warangal,3 Months,"₹ 15,500 - 40,000 lump sum"
Search Engine Optimization (SEO),Martini Spaces,Delhi,3 Months,"₹ 2,000 - 3,000 "
Machine Learning,Rythukart Private Limited,Work from home,1 Month,"₹ 1,000 - 2,000 "
SQL DEVELOPER,Rythukart Private Limited,Work from home,1 Month,"₹ 1,000 - 2,000 "
Data Science,Rythukart Private Limited,Work from home,1 Month,"₹ 1,000 - 2,000 "
Update Taker,Budding Mariners,Work from home,4 Months,"₹ 2,000 "
Full Stack Development,WorkFission,Work from home,3 Months,"₹ 8,000 - 12,000 "
Machine Learning,WIREDLEAP TECHNOLOGY PRIVATE LIMITED,Work from home,6 Months,"₹ 15,000 - 20,000 "
Software Development,OMVAD Group,Gurgaon,6 Months,"₹ 15,000 - 30,000 "
Social Media Marketing,Lawtech,Work from home,3 Months,"₹ 6,000 - 8,000 "
Content Development (English),Hooman Digital LLP,Work from home,3 Months,"₹ 10,000 - 12,000 "
AI-First Automations,CSTE International,Work from home,6 Months,"₹ 2,000 - 5,000 "
Operations Associate,Budding Mariners,Work from home,4 Months,"₹ 3,000 "
Software Development,RVSBELL Analytics Private Limited,Work from home,6 Months,"₹ 12,000 - 15,000 "
Python Development,Maxgen Technologies Private Limited,Ahmedabad,3 Months,"₹ 7,000 - 12,000 "
Artificial Intelligence (AI),International Institute Of SDGs & Public Policy Research,Work from home,6 Weeks,Unpaid
E-Commerce Marketing,Tanvi Verma,Work from home,3 Months,"₹ 1,200 - 3,500 "
Search Engine Optimization (SEO),Denary Media Private Limited,Hyderabad,6 Months,"₹ 10,000 "
Search Engine Optimization (SEO),Unwyre Solutions,Mumbai,3 Months,"₹ 7,000 - 9,000 "
Digital Marketing,Scaling Wolves,Kolkata,3 Months,"₹ 5,000 - 10,000 "
SEO Executive,QA Solvers,Varanasi,3 Months,"₹ 15,000 "
Data Analytics,Bezt Labs,Work from home,3 Months,"₹ 10,000 - 11,000 "
Teaching Assistant (Data Science),Internshala,Work from home,6 Months,"₹ 14,445 "
Animation,UPSC Confidential,Work from home,2 Months,"₹ 1,000 - 5,000 "
Product Marketing Analyst,Anq Digital Finserv Private Limited,Bangalore,3 Months,"₹ 12,000 - 20,000 "
Computer Vision,IndicVision Private Limited,Chennai,6 Months,"₹ 35,000 "
Search Engine Optimization (SEO),WebGenetik Technologies Private Limited,Work from home,3 Months,"₹ 1,000 - 5,000 "
Digital Marketing (Finance & Stock Market),Trade Brains,Bangalore,3 Months,"₹ 9,000 - 12,000 "
Entrepreneur In Residence (EIR),Credex,Work from home,3 Months,"₹ 18,000 - 30,000 "
Social Media Marketing,Scaling Wolves,Kolkata,3 Months,"₹ 5,000 - 10,000 "
Animation,UPSC Confidential,Work from home,2 Months,"₹ 1,000 - 5,000 "
Doubt Solving Expert (Statistics),KUNDUZ TECHNOLOGIES PRIVATE LIMITED,Work from home,3 Months,"₹ 5,000 - 6,000 "
Video Editing/Making,The Affordable Organic Store,Work from home,6 Months,"₹ 1,500 "
Search Engine Optimization (SEO),Seoczar IT Services Private Limited,Bhubaneswar,6 Months,"₹ 3,000 - 5,000 "
Operations Executive - Ecommerce,MHLondon,Noida,3 Months,"₹ 14,000 - 15,000 "
Program Assistant,Pawzz,Work from home,1 Month,"₹ 1,500 - 15,000 "
Data Scientist,Maxgen Technologies Private Limited,Pune,3 Months,"₹ 7,000 - 12,000 "
Animation,Schoolola Private Limited,Work from home,6 Months,"₹ 15,000 - 25,000 "
Supply Chain Management (SCM),Amlytis,Thane,3 Months,"₹ 10,000 - 25,000 "
Social Sector Marketing,Pawzz,Work from home,4 Weeks,"₹ 1,500 - 15,000 lump sum"
Executive Assistant,Pranay A,Work from home,6 Months,"₹ 10,000 - 15,000 "
